bgid,bgidstr,Survey,pblackbg,phispbg
481677201001,BG481677201001,2010 dec/sf1,1.7265385686438317,8.911166805903648
481677201002,BG481677201002,2010 dec/sf1,0.8084074373484237,18.108326596604687
481677201003,BG481677201003,2010 dec/sf1,0.9560229445506693,17.304015296367112
481677202001,BG481677202001,2010 dec/sf1,1.6252821670428894,6.952595936794583
481677202002,BG481677202002,2010 dec/sf1,1.7354877318970678,9.634949132256134
481677202003,BG481677202003,2010 dec/sf1,0.5181347150259068,10.362694300518134
481677203011,BG481677203011,2010 dec/sf1,1.1952191235059761,20.219123505976093
481677203012,BG481677203012,2010 dec/sf1,1.9778481012658229,4.193037974683545
481677203021,BG481677203021,2010 dec/sf1,1.4767932489451476,8.860759493670885
481677203022,BG481677203022,2010 dec/sf1,2.829121086382497,13.391173142210485
481677203023,BG481677203023,2010 dec/sf1,1.505901505901506,8.831908831908832
481677204001,BG481677204001,2010 dec/sf1,1.678285566744126,7.358636715724244
481677204002,BG481677204002,2010 dec/sf1,1.75609756097561,7.853658536585366
481677205011,BG481677205011,2010 dec/sf1,5.69620253164557,19.981916817359853
481677205012,BG481677205012,2010 dec/sf1,4.427577482605946,13.409234661606579
481677205021,BG481677205021,2010 dec/sf1,5.89590050667895,29.20313219714417
481677205022,BG481677205022,2010 dec/sf1,7.901957197731846,17.706237424547282
481677205023,BG481677205023,2010 dec/sf1,7.337526205450734,20.59748427672956
481677205031,BG481677205031,2010 dec/sf1,5.636028443508033,14.564129575981038
481677205032,BG481677205032,2010 dec/sf1,8.104631217838765,19.296740994854204
481677205033,BG481677205033,2010 dec/sf1,5.813658288905814,14.419903528814421
481677206001,BG481677206001,2010 dec/sf1,8.777062609713282,19.192510239906376
481677206002,BG481677206002,2010 dec/sf1,13.668913226621735,22.893850042123
481677207001,BG481677207001,2010 dec/sf1,10.147783251231528,19.704433497536947
481677207002,BG481677207002,2010 dec/sf1,8.19672131147541,17.254098360655735
481677207003,BG481677207003,2010 dec/sf1,8.088658606793322,22.423719055843407
481677208001,BG481677208001,2010 dec/sf1,56.233421750663126,38.06366047745358
481677208002,BG481677208002,2010 dec/sf1,23.180592991913745,23.270440251572328
481677208003,BG481677208003,2010 dec/sf1,31.215161649944257,25.08361204013378
481677208004,BG481677208004,2010 dec/sf1,3.2805429864253397,10.407239819004525
481677209001,BG481677209001,2010 dec/sf1,29.698375870069604,46.75174013921114
481677209002,BG481677209002,2010 dec/sf1,2.7810650887573964,22.781065088757398
481677209003,BG481677209003,2010 dec/sf1,5.090909090909091,32.14545454545454
481677209004,BG481677209004,2010 dec/sf1,27.42749054224464,32.91298865069357
481677210001,BG481677210001,2010 dec/sf1,2.3143164693218514,19.590958019375673
481677211001,BG481677211001,2010 dec/sf1,8.356769787063078,51.74768983527521
481677211002,BG481677211002,2010 dec/sf1,6.471910112359551,62.15730337078652
481677211003,BG481677211003,2010 dec/sf1,15.911730545876887,24.796747967479675
481677211004,BG481677211004,2010 dec/sf1,10.789210789210788,39.66033966033966
481677212011,BG481677212011,2010 dec/sf1,7.231149567367121,17.737948084054388
481677212012,BG481677212012,2010 dec/sf1,8.514755684567005,22.47218190614417
481677212013,BG481677212013,2010 dec/sf1,3.7567084078711988,13.550983899821109
481677212014,BG481677212014,2010 dec/sf1,6.805987009319401,14.925162383507484
481677212015,BG481677212015,2010 dec/sf1,4.376784015223597,11.37012369172217
481677212021,BG481677212021,2010 dec/sf1,8.317338451695457,18.682021753039027
481677213001,BG481677213001,2010 dec/sf1,1.3220018885741265,19.64117091595845
481677213002,BG481677213002,2010 dec/sf1,2.17566478646253,52.054794520547944
481677213003,BG481677213003,2010 dec/sf1,4.204892966360856,17.2782874617737
481677213004,BG481677213004,2010 dec/sf1,5.224564619615032,12.465627864344638
481677214001,BG481677214001,2010 dec/sf1,4.147031102733271,10.320452403393025
481677214002,BG481677214002,2010 dec/sf1,3.1386224934612033,6.408020924149957
481677214003,BG481677214003,2010 dec/sf1,3.820960698689956,12.117903930131005
481677215001,BG481677215001,2010 dec/sf1,3.1390134529147984,9.018435475834579
481677215002,BG481677215002,2010 dec/sf1,2.8552456839309426,7.569721115537849
481677215003,BG481677215003,2010 dec/sf1,4.856199905704856,10.042432814710041
481677215004,BG481677215004,2010 dec/sf1,0.8826125330979699,10.326566637246248
481677216001,BG481677216001,2010 dec/sf1,1.1052631578947367,30.68421052631579
481677217001,BG481677217001,2010 dec/sf1,1.7222820236813776,23.896663078579117
481677217002,BG481677217002,2010 dec/sf1,1.053639846743295,41.09195402298851
481677217003,BG481677217003,2010 dec/sf1,1.1152416356877324,52.49070631970261
481677217004,BG481677217004,2010 dec/sf1,0.9356725146198831,54.15204678362573
481677217005,BG481677217005,2010 dec/sf1,1.1305241521068858,43.67934224049332
481677217006,BG481677217006,2010 dec/sf1,7.560014331780724,22.93084915800788
481677218001,BG481677218001,2010 dec/sf1,0.6672226855713094,20.100083402835697
481677218002,BG481677218002,2010 dec/sf1,0.5497861942577886,26.75626145387905
481677218003,BG481677218003,2010 dec/sf1,0.5725190839694656,21.374045801526716
481677218004,BG481677218004,2010 dec/sf1,1.0670731707317074,30.335365853658537
481677219001,BG481677219001,2010 dec/sf1,31.585796616471463,20.449897750511248
481677219002,BG481677219002,2010 dec/sf1,39.4589552238806,26.81902985074627
481677219003,BG481677219003,2010 dec/sf1,40.18348623853211,35.41284403669725
481677220011,BG481677220011,2010 dec/sf1,15.254237288135593,26.365348399246702
481677220012,BG481677220012,2010 dec/sf1,4.371584699453552,22.33606557377049
481677220013,BG481677220013,2010 dec/sf1,6.656912948061448,36.43013899049012
481677220021,BG481677220021,2010 dec/sf1,14.45859872611465,28.662420382165603
481677220022,BG481677220022,2010 dec/sf1,13.37448559670782,27.674897119341562
481677220023,BG481677220023,2010 dec/sf1,9.341317365269461,32.215568862275454
481677221001,BG481677221001,2010 dec/sf1,10.749506903353057,29.388560157790927
481677221002,BG481677221002,2010 dec/sf1,7.610146862483311,29.372496662216292
481677221003,BG481677221003,2010 dec/sf1,15.053763440860216,31.039426523297493
481677221004,BG481677221004,2010 dec/sf1,7.237422771403354,31.77405119152692
481677221005,BG481677221005,2010 dec/sf1,9.24548352816153,28.586609989373006
481677221006,BG481677221006,2010 dec/sf1,5.376344086021505,18.566308243727597
481677222001,BG481677222001,2010 dec/sf1,26.348039215686274,29.65686274509804
481677222002,BG481677222002,2010 dec/sf1,51.71875,28.125
481677222003,BG481677222003,2010 dec/sf1,31.662591687041562,28.850855745721272
481677222004,BG481677222004,2010 dec/sf1,50.2375296912114,29.097387173396676
481677223001,BG481677223001,2010 dec/sf1,18.061366806136682,49.232914923291496
481677223002,BG481677223002,2010 dec/sf1,18.72187218721872,51.21512151215122
481677223003,BG481677223003,2010 dec/sf1,21.78649237472767,33.44226579520697
481677223004,BG481677223004,2010 dec/sf1,12.573099415204677,49.824561403508774
481677223005,BG481677223005,2010 dec/sf1,21.467889908256883,43.48623853211009
481677223006,BG481677223006,2010 dec/sf1,13.992537313432834,29.850746268656714
481677226001,BG481677226001,2010 dec/sf1,48.97472579876013,19.074868860276588
481677227001,BG481677227001,2010 dec/sf1,85.64307078763709,4.3868394815553335
481677227002,BG481677227002,2010 dec/sf1,94.6078431372549,3.104575163398693
481677227003,BG481677227003,2010 dec/sf1,94.77351916376307,4.181184668989547
481677227004,BG481677227004,2010 dec/sf1,75.98209845847836,9.995027349577326
481677228001,BG481677228001,2010 dec/sf1,37.983706720977594,26.476578411405292
481677228002,BG481677228002,2010 dec/sf1,27.892030848329046,30.7840616966581
481677229001,BG481677229001,2010 dec/sf1,24.46969696969697,26.28787878787879
481677229002,BG481677229002,2010 dec/sf1,22.981366459627328,24.145962732919255
481677230001,BG481677230001,2010 dec/sf1,74.30617726051925,11.996418979409132
481677230002,BG481677230002,2010 dec/sf1,63.26848249027237,16.88715953307393
481677230003,BG481677230003,2010 dec/sf1,50.27262813522355,17.66630316248637
481677231001,BG481677231001,2010 dec/sf1,38.53779429987608,22.800495662949196
481677231002,BG481677231002,2010 dec/sf1,38.14492753623188,16.63768115942029
481677231003,BG481677231003,2010 dec/sf1,45.90643274853801,17.105263157894736
481677232001,BG481677232001,2010 dec/sf1,12.07865168539326,28.20224719101124
481677232002,BG481677232002,2010 dec/sf1,29.70922882427307,20.037926675094816
481677233001,BG481677233001,2010 dec/sf1,0.22034520749173708,13.44105765699596
481677233002,BG481677233002,2010 dec/sf1,7.461024498886415,13.140311804008908
481677233003,BG481677233003,2010 dec/sf1,2.2388059701492535,12.79317697228145
481677234001,BG481677234001,2010 dec/sf1,0.27797081306462823,11.118832522585128
481677234002,BG481677234002,2010 dec/sf1,0.0,11.11111111111111
481677234003,BG481677234003,2010 dec/sf1,0.1638672675133142,9.873002867677181
481677234004,BG481677234004,2010 dec/sf1,0.1330671989354624,20.35928143712575
481677235011,BG481677235011,2010 dec/sf1,0.7648183556405354,14.91395793499044
481677235012,BG481677235012,2010 dec/sf1,0.2008032128514056,12.048192771084338
481677235021,BG481677235021,2010 dec/sf1,0.24701523260601072,18.690819267188143
481677235022,BG481677235022,2010 dec/sf1,0.29251984956122024,12.829084830756374
481677235023,BG481677235023,2010 dec/sf1,0.5455962587685114,10.366328916601715
481677235024,BG481677235024,2010 dec/sf1,0.3599712023038157,14.578833693304535
481677236001,BG481677236001,2010 dec/sf1,6.168446026097272,17.437722419928825
481677236002,BG481677236002,2010 dec/sf1,44.522968197879855,24.293286219081274
481677236003,BG481677236003,2010 dec/sf1,1.6801075268817203,14.448924731182796
481677237001,BG481677237001,2010 dec/sf1,47.332686711930165,28.22502424830262
481677237002,BG481677237002,2010 dec/sf1,66.81299385425812,12.730465320456542
481677238001,BG481677238001,2010 dec/sf1,17.876712328767123,18.013698630136986
481677238002,BG481677238002,2010 dec/sf1,1.3402061855670102,4.948453608247423
481677238003,BG481677238003,2010 dec/sf1,0.4196642685851319,7.134292565947242
481677239001,BG481677239001,2010 dec/sf1,0.4048582995951417,8.097165991902834
481677239002,BG481677239002,2010 dec/sf1,0.5376344086021506,7.661290322580645
481677239003,BG481677239003,2010 dec/sf1,0.9803921568627451,27.450980392156865
481677239004,BG481677239004,2010 dec/sf1,0.7473841554559043,17.339312406576983
481677240001,BG481677240001,2010 dec/sf1,2.081362346263009,13.528855250709556
481677240002,BG481677240002,2010 dec/sf1,35.17964071856288,22.45508982035928
481677241011,BG481677241011,2010 dec/sf1,14.465408805031446,13.626834381551362
481677241012,BG481677241012,2010 dec/sf1,28.1413612565445,24.476439790575917
481677242001,BG481677242001,2010 dec/sf1,4.381443298969072,15.077319587628866
481677242002,BG481677242002,2010 dec/sf1,26.158940397350992,22.516556291390728
481677242003,BG481677242003,2010 dec/sf1,19.69981238273921,19.418386491557225
481677243001,BG481677243001,2010 dec/sf1,22.106824925816024,26.26112759643917
481677243002,BG481677243002,2010 dec/sf1,4.356846473029045,33.40248962655601
481677243003,BG481677243003,2010 dec/sf1,10.052910052910052,27.689594356261022
481677243004,BG481677243004,2010 dec/sf1,8.494208494208493,25.868725868725868
481677243005,BG481677243005,2010 dec/sf1,16.05960264900662,24.503311258278146
481677244001,BG481677244001,2010 dec/sf1,20.8411214953271,37.10280373831776
481677244002,BG481677244002,2010 dec/sf1,27.15477293790547,28.3595922150139
481677244003,BG481677244003,2010 dec/sf1,35.06711409395973,29.194630872483224
481677244004,BG481677244004,2010 dec/sf1,19.929453262786595,28.92416225749559
481677245001,BG481677245001,2010 dec/sf1,16.372202591283862,16.372202591283862
481677246001,BG481677246001,2010 dec/sf1,41.23711340206185,42.2680412371134
481677246002,BG481677246002,2010 dec/sf1,60.60037523452158,33.14571607254534
481677247001,BG481677247001,2010 dec/sf1,58.179231863442396,26.458036984352773
481677247002,BG481677247002,2010 dec/sf1,47.980214344600164,34.8722176422094
481677248001,BG481677248001,2010 dec/sf1,24.588364434687158,30.18660812294182
481677248002,BG481677248002,2010 dec/sf1,27.70745428973277,40.787623066104075
481677249001,BG481677249001,2010 dec/sf1,19.78021978021978,30.952380952380953
481677249002,BG481677249002,2010 dec/sf1,21.974965229485395,36.02225312934632
481677249003,BG481677249003,2010 dec/sf1,16.899224806201552,42.17054263565891
481677250001,BG481677250001,2010 dec/sf1,14.74558670820353,46.52128764278297
481677250002,BG481677250002,2010 dec/sf1,10.487444608567207,55.83456425406204
481677250003,BG481677250003,2010 dec/sf1,8.520900321543408,41.31832797427653
481677251001,BG481677251001,2010 dec/sf1,43.585780525502315,34.77588871715611
481677251002,BG481677251002,2010 dec/sf1,46.95393759286775,40.11887072808321
481677251003,BG481677251003,2010 dec/sf1,39.2226148409894,36.57243816254417
481677252001,BG481677252001,2010 dec/sf1,28.210526315789476,49.26315789473684
481677252002,BG481677252002,2010 dec/sf1,27.40303541315346,64.92411467116358
481677253001,BG481677253001,2010 dec/sf1,9.876543209876543,59.15637860082305
481677253002,BG481677253002,2010 dec/sf1,10.583153347732182,29.805615550755938
481677254001,BG481677254001,2010 dec/sf1,9.031556039173013,53.42763873775843
481677254002,BG481677254002,2010 dec/sf1,11.375661375661375,54.629629629629626
481677254003,BG481677254003,2010 dec/sf1,8.984047019311504,64.65155331654073
481677254004,BG481677254004,2010 dec/sf1,13.750000000000002,44.80769230769231
481677255001,BG481677255001,2010 dec/sf1,9.197651663405088,15.459882583170254
481677255002,BG481677255002,2010 dec/sf1,3.9538714991762767,18.945634266886326
481677256001,BG481677256001,2010 dec/sf1,8.860759493670885,21.308016877637133
481677256002,BG481677256002,2010 dec/sf1,16.60470879801735,24.53531598513011
481677256003,BG481677256003,2010 dec/sf1,15.959119496855346,23.5062893081761
481677256004,BG481677256004,2010 dec/sf1,20.40441176470588,31.801470588235293
481677257001,BG481677257001,2010 dec/sf1,5.533596837944664,21.106719367588934
481677257002,BG481677257002,2010 dec/sf1,6.533192834562697,21.707060063224446
481677258001,BG481677258001,2010 dec/sf1,17.378048780487802,39.48170731707317
481677258002,BG481677258002,2010 dec/sf1,10.036275695284159,51.995163240628784
481677258003,BG481677258003,2010 dec/sf1,10.888610763454318,31.727158948685858
481677259001,BG481677259001,2010 dec/sf1,4.3604651162790695,19.912790697674417
481677259002,BG481677259002,2010 dec/sf1,8.125819134993446,21.494102228047183
481677260001,BG481677260001,2010 dec/sf1,3.290246768507638,15.62867215041128
481677260002,BG481677260002,2010 dec/sf1,0.8391608391608392,7.6923076923076925
481677261001,BG481677261001,2010 dec/sf1,1.0638297872340425,7.726763717805152
481677261002,BG481677261002,2010 dec/sf1,1.7406440382941688,5.134899912967798
481677262001,BG481677262001,2010 dec/sf1,36.74074074074074,36.0
481677262002,BG481677262002,2010 dec/sf1,39.28413610251878,28.590366769774633
481679900000,BG481679900000,2010 dec/sf1,,
